,Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,MACD,signal,Buy_Signal_Price,Sell_Signal_Price
104,2021-08-20,2338.0,2373.7,2280.0,2290.05,2328.9900891972247,19171,1882,44649069.0,3409.0,17.78,93.7,-47.95,-18.77377098189072,4.511720486950734,,
105,2021-08-18,2318.8,2362.65,2311.95,2355.25,2342.678770226537,15450,1607,36194387.0,2047.0,13.25,50.7,36.45,-15.85192989833331,0.43899040989392546,,
106,2021-08-17,2301.7,2314.15,2271.0,2307.6,2294.982283464567,7620,937,17487765.0,1748.0,22.94,43.15,5.9,-17.183228993570992,-3.085453470799058,,
107,2021-08-16,2315.0,2324.5,2290.25,2294.85,2304.4917243708833,11842,964,27289791.0,2277.0,19.23,34.25,-20.15,-19.047543338915602,-6.277871444422367,,
108,2021-08-13,2309.0,2322.0,2274.85,2308.05,2305.80399916684,9602,1223,22140330.0,3720.0,38.74,47.15,-0.95,-19.238131007331503,-8.869923357004195,,
109,2021-08-12,2288.0,2328.65,2257.55,2293.8,2302.048899252452,14581,1577,33566175.0,3190.0,21.88,71.1,5.8,-20.304966006719496,-11.156931886947255,,
110,2021-08-11,2313.05,2324.45,2248.1,2275.0,2272.7596621815055,13972,1698,31754998.0,4941.0,35.36,76.35,-38.05,-22.4091248694117,-13.407370483440145,,
111,2021-08-10,2307.75,2328.8,2268.0,2297.65,2301.1261008807046,12490,2105,28741065.0,5593.0,44.78,60.8,-10.1,-21.99547013369238,-15.124990413490593,,
112,2021-08-09,2365.8,2365.8,2305.0,2311.9,2337.8640317903555,9311,1348,21767852.0,2346.0,25.2,60.8,-53.9,-20.283968900479977,-16.15678611088847,,
113,2021-08-06,2385.0,2399.35,2332.65,2340.35,2365.538661536061,19231,2372,45491674.0,5386.0,28.01,66.7,-44.65,-16.442377120607034,-16.213904312832184,,
